# 1. proc label     2. energy            3. bias correction   4. niters  5. time
102.75952380952381    -9.396880947620e-01   3.483186837174e-04   1.0276e+02   8.7901e+04
103.34126984126983    -9.255805662886e-01   3.413955834022e-04   1.0334e+02   9.1756e+04
102.5047619047619    -9.093565432139e-01   3.473865795505e-04   1.0250e+02   9.4576e+04
103.68174603174603    -9.334191608588e-01   3.564419625288e-04   1.0368e+02   9.2987e+04
105.11904761904762    -9.169767628462e-01   3.149231526002e-04   1.0512e+02   9.0574e+04
103.88095238095238    -9.424447247072e-01   4.137592054455e-04   1.0388e+02   9.1864e+04
102.94603174603175    -9.137463541840e-01   3.411674263360e-04   1.0295e+02   9.0443e+04
101.56746031746032    -9.068866898628e-01   3.453318076415e-04   1.0157e+02   9.1141e+04
104.53730158730158    -9.057631935958e-01   2.781656533331e-04   1.0454e+02   8.7027e+04
103.79444444444445    -9.403909693557e-01   4.546500298917e-04   1.0379e+02   9.4592e+04
103.66269841269842    -9.104408425866e-01   3.897296542598e-04   1.0366e+02   9.3217e+04
102.0531746031746    -8.999116500129e-01   2.930848681083e-04   1.0205e+02   8.8482e+04
104.92619047619047    -9.157638135279e-01   3.735224326903e-04   1.0493e+02   9.2155e+04
104.39126984126985    -9.186212017308e-01   3.142643231967e-04   1.0439e+02   9.3778e+04
105.16428571428571    -9.130072619289e-01   4.132382721104e-04   1.0516e+02   9.3049e+04
105.12222222222222    -9.056785771142e-01   3.671129533984e-04   1.0512e+02   9.2214e+04
104.53571428571429    -9.430645379874e-01   4.139616567455e-04   1.0454e+02   9.3178e+04
103.62936507936507    -9.399753216448e-01   4.071883429896e-04   1.0363e+02   9.3708e+04
102.58015873015873    -9.109208994705e-01   4.454978871482e-04   1.0258e+02   8.5167e+04
102.72777777777777    -9.143691359996e-01   3.690325071399e-04   1.0273e+02   9.6649e+04
104.03253968253968    -9.086253167420e-01   3.385433846054e-04   1.0403e+02   9.7924e+04
104.01825396825397    -9.333208628967e-01   3.897469016030e-04   1.0402e+02   8.9212e+04
104.32063492063492    -9.309811943336e-01   3.581105371991e-04   1.0432e+02   9.4649e+04
105.4531746031746    -9.385387677065e-01   3.048943641998e-04   1.0545e+02   8.8854e+04
103.54285714285714    -9.281213511929e-01   3.247210993287e-04   1.0354e+02   8.5770e+04
103.76031746031747    -9.282399638578e-01   2.730872631193e-04   1.0376e+02   9.3333e+04
103.68095238095238    -9.212259996291e-01   3.563702310462e-04   1.0368e+02   9.6160e+04
104.13650793650794    -9.141758426733e-01   5.615019214635e-04   1.0414e+02   9.7412e+04
102.4920634920635    -8.989879837794e-01   3.612397868221e-04   1.0249e+02   9.1361e+04
104.59206349206349    -9.297186049433e-01   3.080100843329e-04   1.0459e+02   9.1450e+04
105.92857142857143    -9.254641186964e-01   2.903591878642e-04   1.0593e+02   9.3600e+04
103.9515873015873    -9.265028145885e-01   3.952747752488e-04   1.0395e+02   9.6734e+04
103.02063492063492    -9.184743620731e-01   3.213481562743e-04   1.0302e+02   9.1022e+04
103.93730158730159    -9.219056390696e-01   3.642098660218e-04   1.0394e+02   9.6547e+04
104.47460317460317    -9.357552215376e-01   3.529033969459e-04   1.0447e+02   8.9155e+04
104.01269841269841    -9.199448401518e-01   4.756907007508e-04   1.0401e+02   9.3331e+04
104.76904761904763    -9.271061600293e-01   3.762392446261e-04   1.0477e+02   9.1168e+04
103.93174603174603    -8.922636601035e-01   3.620239681511e-04   1.0393e+02   9.1976e+04
103.26904761904763    -9.199520383113e-01   3.587495656275e-04   1.0327e+02   8.8274e+04
103.02063492063492    -9.227231315139e-01   3.921074425866e-04   1.0302e+02   9.5323e+04
104.43253968253968    -9.224225006183e-01   5.196541069782e-04   1.0443e+02   9.2299e+04
104.46984126984127    -9.227174993615e-01   3.225403791650e-04   1.0447e+02   9.6742e+04
104.79523809523809    -9.273531842587e-01   3.614564006333e-04   1.0480e+02   9.8149e+04
103.62380952380953    -9.117465813334e-01   3.763726247329e-04   1.0362e+02   9.3376e+04
